epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,452.698,0.35245,0.5068,1.00827,0.92614,0.94988,0.95352,0.92577,0.28141,0.20624,0.94743,0.008251,0.008251,0.008251
55,873.154,0.35477,0.51477,1.00894,0.92559,0.95063,0.95401,0.92616,0.28129,0.20589,0.94726,0.008218,0.008218,0.008218
56,1290.51,0.35383,0.51321,1.00763,0.92559,0.95072,0.95463,0.92688,0.28125,0.20556,0.94715,0.008185,0.008185,0.008185
57,1707.83,0.35595,0.51585,1.00969,0.9254,0.94955,0.95468,0.9271,0.28094,0.20535,0.9471,0.008152,0.008152,0.008152
58,2126.48,0.35182,0.50891,1.00689,0.92744,0.94768,0.95452,0.9268,0.28067,0.20519,0.94704,0.008119,0.008119,0.008119
59,2542.82,0.35362,0.50995,1.00748,0.92678,0.95055,0.95486,0.92711,0.28069,0.20528,0.947,0.008086,0.008086,0.008086
60,2960.09,0.3545,0.506,1.00928,0.92804,0.95048,0.95522,0.92772,0.28053,0.20488,0.94705,0.008053,0.008053,0.008053
61,3377.42,0.35103,0.50213,1.00557,0.92643,0.95357,0.95551,0.9279,0.2804,0.20468,0.94717,0.00802,0.00802,0.00802
62,3794.91,0.35212,0.50772,1.00794,0.92964,0.95152,0.95603,0.92821,0.28055,0.20464,0.94723,0.007987,0.007987,0.007987
63,4217.23,0.35231,0.50288,1.00816,0.93105,0.9509,0.95609,0.92834,0.28049,0.20454,0.94717,0.007954,0.007954,0.007954
64,4632.45,0.35149,0.49552,1.00698,0.93108,0.9505,0.95599,0.928,0.28047,0.2046,0.94707,0.007921,0.007921,0.007921
65,5048.37,0.3491,0.50143,1.00593,0.93183,0.94979,0.95576,0.92777,0.28064,0.20472,0.94705,0.007888,0.007888,0.007888
66,5472.94,0.34898,0.49813,1.00627,0.93259,0.94965,0.95573,0.92779,0.28075,0.20472,0.94718,0.007855,0.007855,0.007855
67,5891.43,0.34969,0.49943,1.00621,0.93261,0.94956,0.95606,0.92791,0.28046,0.20472,0.9472,0.007822,0.007822,0.007822
68,6307.35,0.34743,0.49465,1.00397,0.9326,0.94927,0.9563,0.92859,0.28002,0.20408,0.94701,0.007789,0.007789,0.007789
69,6723.31,0.34781,0.49736,1.00599,0.93188,0.94914,0.95653,0.9287,0.27992,0.20369,0.94702,0.007756,0.007756,0.007756
