epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.245,0,17.3585,0,0,0,0,0,0,0,0,0.00333197,0.00333197,0.00333197
2,775.812,0,0,0,0,0,0,0,0,0,0,0.00664331,0.00664331,0.00664331
3,1112.49,0,0,0,0,0,0,0,0,0,0,0.00993265,0.00993265,0.00993265
4,1445.9,0,0,0,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
5,1779.99,0,0,0,0,0,0,0,0,0,0,0.009868,0.009868,0.009868
6,2112.79,0,0,0,0,0,0,0,0,0,0,0.009835,0.009835,0.009835
7,2445.96,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
8,2780.03,0,0,0,0,0,0,0,0,0,0,0.009769,0.009769,0.009769
9,3113.37,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
10,3454.95,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
11,3816.83,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
12,4152.2,0,0,0,0,0,0,0,0,0,0,0.009637,0.009637,0.009637
13,4482.76,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
14,4818.17,0,0,0,0,0,0,0,0,0,0,0.009571,0.009571,0.009571
15,5150.8,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
16,5482.1,0,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
17,5830.39,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
18,6203.2,0,0,0,0,0,0,0,0,0,0,0.009439,0.009439,0.009439
19,6571.5,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
20,6943.43,0,0,0,0,0,0,0,0,0,0,0.009373,0.009373,0.009373
21,7277.65,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
22,7612.12,0,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
23,7946.93,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
24,8282.2,0,0,0,0,0,0,0,0,0,0,0.009241,0.009241,0.009241
25,8617.02,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
26,8953.09,0,0,0,0,0,0,0,0,0,0,0.009175,0.009175,0.009175
27,9287.85,0,0,0,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
28,9627.05,0,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
29,9963.23,0,0,0,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
30,10298.6,0,0,0,0,0,0,0,0,0,0,0.009043,0.009043,0.009043
31,10637.6,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
32,10973.7,0,0,0,0,0,0,0,0,0,0,0.008977,0.008977,0.008977
33,11308.6,0,0,0,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
34,11643.8,0,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
35,11978.6,0,0,0,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
36,12313.6,0,0,0,0,0,0,0,0,0,0,0.008845,0.008845,0.008845
37,12648.8,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
38,12984.2,0,0,0,0,0,0,0,0,0,0,0.008779,0.008779,0.008779
39,13319.3,0,0,0,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
40,13654.7,0,0,0,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
41,13989.7,0,0,0,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
42,14327.9,0,0,0,0,0,0,0,0,0,0,0.008647,0.008647,0.008647
43,14662.9,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
44,14997.8,0,0,0,0,0,0,0,0,0,0,0.008581,0.008581,0.008581
45,15333.3,0,0,0,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
46,15670.3,0,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
47,16011.8,0,0,0,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
48,16352.2,0,0,0,0,0,0,0,0,0,0,0.008449,0.008449,0.008449
49,16691.9,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
50,17031.7,0,0,0,0,0,0,0,0,0,0,0.008383,0.008383,0.008383
51,17371.8,0,0,0,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
52,17714.6,0,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
53,18056.5,0,0,0,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
